ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
elephant,lizard,ladybug,ant,whale,cat,goat,hog,turkey,"['stim4', 'stim7', 'stim1', 'stim6', 'stim5', 'stim8', 'stim3', 'stim2']","['whale', 'hog', 'lizard', 'goat', 'cat', 'turkey', 'ant', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
horse,dolphin,ladybug,rat,snail,cat,pigeon,owl,turtle,"['stim1', 'stim5', 'stim3', 'stim8', 'stim7', 'stim6', 'stim4', 'stim2']","['dolphin', 'cat', 'rat', 'turtle', 'owl', 'pigeon', 'snail', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
cat,dog,dolphin,cow,sheep,snail,hog,butterfly,snake,"['stim1', 'stim4', 'stim3', 'stim6', 'stim2', 'stim8', 'stim5', 'stim7']","['dog', 'sheep', 'cow', 'hog', 'dolphin', 'snake', 'snail', 'butterfly']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
rat,tiger,dog,lizard,crocodile,fox,sparrow,duck,bluebird,"['stim2', 'stim5', 'stim1', 'stim3', 'stim4', 'stim7', 'stim6', 'stim8']","['dog', 'fox', 'tiger', 'lizard', 'crocodile', 'duck', 'sparrow', 'bluebird']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
turtle,monkey,tiger,dolphin,mouse,fox,frog,ladybug,bat,"['stim6', 'stim4', 'stim8', 'stim5', 'stim1', 'stim2', 'stim3', 'stim7']","['frog', 'mouse', 'bat', 'fox', 'monkey', 'tiger', 'dolphin', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
duck,dolphin,goat,monkey,snail,elephant,rat,cat,fox,"['stim6', 'stim7', 'stim2', 'stim8', 'stim5', 'stim3', 'stim4', 'stim1']","['rat', 'cat', 'goat', 'fox', 'elephant', 'monkey', 'snail', 'dolphin']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
frog,duck,bear,turkey,sparrow,hog,cat,ant,bat,"['stim1', 'stim7', 'stim8', 'stim5', 'stim3', 'stim6', 'stim4', 'stim2']","['duck', 'ant', 'bat', 'hog', 'turkey', 'cat', 'sparrow', 'bear']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
bluebird,rat,spider,shark,cat,snake,owl,monkey,dog,"['stim6', 'stim1', 'stim4', 'stim8', 'stim5', 'stim7', 'stim2', 'stim3']","['owl', 'rat', 'cat', 'dog', 'snake', 'monkey', 'spider', 'shark']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
cow,tiger,frog,lizard,eagle,sparrow,rat,goldfish,turkey,"['stim6', 'stim1', 'stim8', 'stim3', 'stim2', 'stim4', 'stim5', 'stim7']","['rat', 'tiger', 'turkey', 'lizard', 'frog', 'eagle', 'sparrow', 'goldfish']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
turkey,owl,cat,butterfly,snail,snake,mouse,giraffe,sheep,"['stim1', 'stim8', 'stim6', 'stim2', 'stim7', 'stim3', 'stim4', 'stim5']","['owl', 'sheep', 'mouse', 'cat', 'giraffe', 'butterfly', 'snail', 'snake']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
snail,dolphin,ant,rat,tiger,cat,monkey,spider,cow,"['stim2', 'stim7', 'stim3', 'stim5', 'stim1', 'stim8', 'stim6', 'stim4']","['ant', 'spider', 'rat', 'cat', 'dolphin', 'cow', 'monkey', 'tiger']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
giraffe,monkey,crocodile,bat,duck,turkey,ladybug,goat,pigeon,"['stim1', 'stim7', 'stim3', 'stim2', 'stim5', 'stim4', 'stim8', 'stim6']","['monkey', 'goat', 'bat', 'crocodile', 'turkey', 'duck', 'pigeon', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
eagle,pigeon,whale,cat,butterfly,goat,hog,duck,mouse,"['stim1', 'stim7', 'stim8', 'stim5', 'stim6', 'stim3', 'stim4', 'stim2']","['pigeon', 'duck', 'mouse', 'goat', 'hog', 'cat', 'butterfly', 'whale']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
crocodile,bluebird,snake,rat,ant,horse,owl,snail,giraffe,"['stim7', 'stim2', 'stim3', 'stim5', 'stim8', 'stim4', 'stim6', 'stim1']","['snail', 'snake', 'rat', 'horse', 'giraffe', 'ant', 'owl', 'bluebird']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
cat,goat,monkey,sheep,horse,dog,turtle,elephant,fox,"['stim5', 'stim1', 'stim3', 'stim8', 'stim4', 'stim2', 'stim7', 'stim6']","['dog', 'goat', 'sheep', 'fox', 'horse', 'monkey', 'elephant', 'turtle']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
snail,turkey,duck,monkey,pigeon,ladybug,sparrow,fox,cat,"['stim5', 'stim2', 'stim1', 'stim6', 'stim4', 'stim8', 'stim7', 'stim3']","['ladybug', 'duck', 'turkey', 'sparrow', 'pigeon', 'cat', 'fox', 'monkey']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
sparrow,dog,goat,pigeon,turkey,hog,shark,cat,turtle,"['stim3', 'stim4', 'stim7', 'stim5', 'stim2', 'stim8', 'stim1', 'stim6']","['pigeon', 'turkey', 'cat', 'hog', 'goat', 'turtle', 'dog', 'shark']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
crocodile,cat,elephant,lizard,whale,sparrow,duck,rat,giraffe,"['stim3', 'stim2', 'stim7', 'stim1', 'stim8', 'stim6', 'stim4', 'stim5']","['lizard', 'elephant', 'rat', 'cat', 'giraffe', 'duck', 'whale', 'sparrow']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
lizard,snake,bluebird,duck,mouse,butterfly,monkey,frog,sheep,"['stim7', 'stim1', 'stim4', 'stim3', 'stim2', 'stim8', 'stim5', 'stim6']","['frog', 'snake', 'mouse', 'duck', 'bluebird', 'sheep', 'butterfly', 'monkey']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
spider,duck,rat,giraffe,ladybug,shark,butterfly,monkey,frog,"['stim6', 'stim4', 'stim8', 'stim2', 'stim1', 'stim7', 'stim3', 'stim5']","['butterfly', 'ladybug', 'frog', 'rat', 'duck', 'monkey', 'giraffe', 'shark']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
dolphin,bat,turtle,bear,ladybug,tiger,sheep,fox,goat,"['stim5', 'stim3', 'stim8', 'stim6', 'stim7', 'stim1', 'stim2', 'stim4']","['tiger', 'bear', 'goat', 'sheep', 'fox', 'bat', 'turtle', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
turkey,crocodile,goldfish,elephant,lizard,hog,cow,fox,bear,"['stim5', 'stim6', 'stim7', 'stim4', 'stim1', 'stim8', 'stim3', 'stim2']","['hog', 'cow', 'fox', 'lizard', 'crocodile', 'bear', 'elephant', 'goldfish']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
cow,ladybug,snake,goldfish,bat,frog,pigeon,duck,shark,"['stim4', 'stim7', 'stim5', 'stim8', 'stim6', 'stim2', 'stim1', 'stim3']","['bat', 'duck', 'frog', 'shark', 'pigeon', 'snake', 'ladybug', 'goldfish']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
giraffe,ant,ladybug,dolphin,turkey,snake,owl,turtle,sparrow,"['stim3', 'stim4', 'stim6', 'stim7', 'stim5', 'stim8', 'stim1', 'stim2']","['dolphin', 'turkey', 'owl', 'turtle', 'snake', 'sparrow', 'ant', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
bluebird,elephant,whale,ladybug,snake,ant,shark,tiger,pigeon,"['stim8', 'stim3', 'stim4', 'stim5', 'stim1', 'stim7', 'stim2', 'stim6']","['pigeon', 'ladybug', 'snake', 'ant', 'elephant', 'tiger', 'whale', 'shark']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
horse,eagle,tiger,fox,whale,bat,cow,monkey,mouse,"['stim6', 'stim7', 'stim2', 'stim3', 'stim8', 'stim5', 'stim4', 'stim1']","['cow', 'monkey', 'tiger', 'fox', 'mouse', 'bat', 'whale', 'eagle']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
owl,goldfish,mouse,sheep,ladybug,snail,sparrow,goat,whale,"['stim6', 'stim2', 'stim7', 'stim3', 'stim4', 'stim1', 'stim8', 'stim5']","['sparrow', 'mouse', 'goat', 'sheep', 'ladybug', 'goldfish', 'whale', 'snail']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
monkey,sheep,butterfly,bluebird,pigeon,snail,spider,whale,eagle,"['stim7', 'stim1', 'stim8', 'stim4', 'stim3', 'stim6', 'stim5', 'stim2']","['whale', 'sheep', 'eagle', 'pigeon', 'bluebird', 'spider', 'snail', 'butterfly']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
hog,dolphin,pigeon,goat,frog,lizard,horse,duck,whale,"['stim3', 'stim6', 'stim1', 'stim7', 'stim5', 'stim4', 'stim8', 'stim2']","['goat', 'horse', 'dolphin', 'duck', 'lizard', 'frog', 'whale', 'pigeon']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
sparrow,sheep,frog,lizard,cow,duck,crocodile,tiger,ant,"['stim5', 'stim3', 'stim2', 'stim1', 'stim4', 'stim6', 'stim8', 'stim7']","['duck', 'lizard', 'frog', 'sheep', 'cow', 'crocodile', 'ant', 'tiger']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
dolphin,cow,turtle,tiger,ant,duck,spider,frog,bluebird,"['stim3', 'stim1', 'stim2', 'stim7', 'stim5', 'stim8', 'stim4', 'stim6']","['tiger', 'cow', 'turtle', 'frog', 'duck', 'bluebird', 'ant', 'spider']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
fox,rat,crocodile,monkey,eagle,duck,cow,whale,dog,"['stim8', 'stim6', 'stim1', 'stim3', 'stim7', 'stim2', 'stim4', 'stim5']","['dog', 'cow', 'rat', 'monkey', 'whale', 'crocodile', 'eagle', 'duck']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
frog,whale,ant,turtle,pigeon,dolphin,duck,horse,giraffe,"['stim3', 'stim6', 'stim2', 'stim4', 'stim5', 'stim7', 'stim8', 'stim1']","['turtle', 'duck', 'ant', 'pigeon', 'dolphin', 'horse', 'giraffe', 'whale']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
goat,bear,cat,crocodile,bluebird,turtle,shark,butterfly,snake,"['stim2', 'stim1', 'stim5', 'stim3', 'stim4', 'stim8', 'stim6', 'stim7']","['cat', 'bear', 'turtle', 'crocodile', 'bluebird', 'snake', 'shark', 'butterfly']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
monkey,rat,shark,fox,tiger,cow,duck,giraffe,ant,"['stim4', 'stim3', 'stim7', 'stim1', 'stim5', 'stim6', 'stim2', 'stim8']","['tiger', 'fox', 'giraffe', 'rat', 'cow', 'duck', 'shark', 'ant']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
shark,goat,whale,dog,monkey,sparrow,cat,turkey,bear,"['stim2', 'stim8', 'stim4', 'stim3', 'stim1', 'stim6', 'stim7', 'stim5']","['whale', 'bear', 'monkey', 'dog', 'goat', 'cat', 'turkey', 'sparrow']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
sheep,cow,butterfly,ant,bluebird,elephant,bat,goldfish,duck,"['stim1', 'stim5', 'stim6', 'stim8', 'stim4', 'stim3', 'stim2', 'stim7']","['cow', 'elephant', 'bat', 'duck', 'bluebird', 'ant', 'butterfly', 'goldfish']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
eagle,hog,sparrow,turkey,cow,snail,frog,turtle,cat,"['stim3', 'stim2', 'stim8', 'stim1', 'stim4', 'stim6', 'stim7', 'stim5']","['turkey', 'sparrow', 'cat', 'hog', 'cow', 'frog', 'turtle', 'snail']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
horse,giraffe,sheep,turkey,crocodile,owl,bluebird,goat,turtle,"['stim1', 'stim7', 'stim2', 'stim4', 'stim8', 'stim3', 'stim5', 'stim6']","['giraffe', 'goat', 'sheep', 'crocodile', 'turtle', 'turkey', 'owl', 'bluebird']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
fox,dog,bluebird,eagle,snake,sparrow,horse,frog,pigeon,"['stim1', 'stim6', 'stim7', 'stim3', 'stim8', 'stim5', 'stim2', 'stim4']","['dog', 'horse', 'frog', 'eagle', 'pigeon', 'sparrow', 'bluebird', 'snake']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
frog,butterfly,spider,snail,dog,fox,lizard,goldfish,sheep,"['stim6', 'stim3', 'stim2', 'stim1', 'stim7', 'stim8', 'stim5', 'stim4']","['lizard', 'snail', 'spider', 'butterfly', 'goldfish', 'sheep', 'fox', 'dog']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
bear,butterfly,bat,frog,cat,goat,goldfish,snail,pigeon,"['stim4', 'stim5', 'stim2', 'stim3', 'stim8', 'stim7', 'stim6', 'stim1']","['cat', 'goat', 'bat', 'frog', 'pigeon', 'snail', 'goldfish', 'butterfly']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
pigeon,crocodile,ladybug,sheep,fox,frog,whale,giraffe,bear,"['stim5', 'stim2', 'stim3', 'stim1', 'stim4', 'stim7', 'stim8', 'stim6']","['frog', 'ladybug', 'sheep', 'crocodile', 'fox', 'giraffe', 'bear', 'whale']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
pigeon,ant,cow,dolphin,cat,rat,goldfish,spider,snail,"['stim5', 'stim2', 'stim4', 'stim8', 'stim6', 'stim3', 'stim1', 'stim7']","['rat', 'cow', 'cat', 'snail', 'goldfish', 'dolphin', 'ant', 'spider']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
giraffe,rat,hog,mouse,whale,frog,sheep,cat,lizard,"['stim7', 'stim6', 'stim2', 'stim3', 'stim1', 'stim4', 'stim8', 'stim5']","['cat', 'sheep', 'hog', 'mouse', 'rat', 'whale', 'lizard', 'frog']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
snake,butterfly,dolphin,ant,turtle,spider,sparrow,monkey,ladybug,"['stim4', 'stim3', 'stim5', 'stim1', 'stim8', 'stim2', 'stim6', 'stim7']","['turtle', 'ant', 'spider', 'butterfly', 'ladybug', 'dolphin', 'sparrow', 'monkey']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
bear,cow,whale,goat,fox,snake,shark,spider,bat,"['stim3', 'stim1', 'stim4', 'stim2', 'stim8', 'stim6', 'stim7', 'stim5']","['goat', 'cow', 'fox', 'whale', 'bat', 'shark', 'spider', 'snake']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
dog,owl,giraffe,cow,ladybug,pigeon,monkey,tiger,lizard,"['stim3', 'stim2', 'stim6', 'stim7', 'stim8', 'stim1', 'stim5', 'stim4']","['cow', 'giraffe', 'monkey', 'tiger', 'lizard', 'owl', 'pigeon', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
monkey,whale,ladybug,goat,bear,snail,hog,lizard,sparrow,"['stim3', 'stim6', 'stim4', 'stim1', 'stim7', 'stim8', 'stim5', 'stim2']","['goat', 'hog', 'bear', 'whale', 'lizard', 'sparrow', 'snail', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
elephant,eagle,rat,goat,sparrow,owl,ant,turtle,crocodile,"['stim3', 'stim2', 'stim8', 'stim7', 'stim1', 'stim5', 'stim4', 'stim6']","['goat', 'rat', 'crocodile', 'turtle', 'eagle', 'owl', 'sparrow', 'ant']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
tiger,butterfly,bear,frog,bluebird,turkey,spider,owl,duck,"['stim2', 'stim5', 'stim7', 'stim8', 'stim4', 'stim3', 'stim6', 'stim1']","['bear', 'turkey', 'owl', 'duck', 'bluebird', 'frog', 'spider', 'butterfly']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
tiger,sparrow,sheep,monkey,elephant,ladybug,cow,dolphin,giraffe,"['stim4', 'stim8', 'stim3', 'stim6', 'stim2', 'stim7', 'stim1', 'stim5']","['elephant', 'giraffe', 'monkey', 'cow', 'sheep', 'dolphin', 'sparrow', 'ladybug']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
mouse,monkey,ladybug,bear,butterfly,fox,hog,sparrow,lizard,"['stim6', 'stim5', 'stim1', 'stim3', 'stim8', 'stim7', 'stim2', 'stim4']","['hog', 'fox', 'monkey', 'bear', 'lizard', 'sparrow', 'ladybug', 'butterfly']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
bear,turtle,mouse,duck,turkey,sheep,dolphin,hog,bluebird,"['stim5', 'stim7', 'stim6', 'stim2', 'stim4', 'stim3', 'stim1', 'stim8']","['sheep', 'hog', 'dolphin', 'mouse', 'turkey', 'duck', 'turtle', 'bluebird']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
hog,cow,bluebird,spider,dog,crocodile,ant,snake,elephant,"['stim1', 'stim4', 'stim8', 'stim5', 'stim7', 'stim2', 'stim6', 'stim3']","['cow', 'dog', 'elephant', 'crocodile', 'snake', 'bluebird', 'ant', 'spider']",S4,7,2021_Oct_20_1359,image_exp,3.2.4,60.03424533
